ts,cpu_usage_s,cpu_pressure_some_s,runq_wait_s,mem_bytes,cg_usage_usec,cg_press_some_total_us,node_load1
1788848083.696478347,2680.253124,39.47838,100.040868462,1.888342016e+09,2680306011,39491006,213.31
1788848085.764560846,2683.40669,40.233028,101.904243235,1.889271808e+09,2683460756,40239810,213.31
1788848087.819503166,2686.428693,41.182341,103.618879493,1.890168832e+09,2686458596,41215385,213.31
1788848089.876478082,2689.880308,41.871938,105.067225464,1.890111488e+09,2690664363,42009589,209.77
1788848092.344496170,2693.941512,42.703174,106.881972341,1.890639872e+09,2694359408,42804608,209.77
1788848094.628481246,2697.742523,43.474198,108.477865039,1.891520512e+09,2697794459,43486128,217.71
1788848096.683217203,2700.439038,44.395658,110.760984213,1.892130816e+09,2700465803,44424311,217.71
1788848098.770682421,2703.535847,45.26562,112.503656167,1.89218816e+09,2703570387,45293181,211.01
1788848100.831575707,2707.037874,45.978317,113.943688691,1.89298688e+09,2707142361,45996979,211.01
1788848102.916558822,2710.690121,46.653342,115.358246026,1.894957056e+09,2710737327,46665563,211.01
1788848104.974619232,2713.96005,47.423462,116.911212,1.895436288e+09,2714005091,47440194,203.24
1788848107.036490611,2717.027241,48.018108,118.853950361,1.896833024e+09,2717077065,48031836,203.24
1788848109.141484343,2720.103403,48.848489,120.570040107,1.897357312e+09,2720136415,48884238,194.73
1788848111.206467270,2723.568421,49.321282,122.235020825,1.898016768e+09,2723692033,49358288,194.73
1788848113.376069182,2726.903197,49.938969,123.865105533,1.898020864e+09,2726975436,50005650,212.61
1788848115.473533942,2730.109118,50.779905,125.545236126,1.8987008e+09,2730153421,50823383,212.61
1788848117.543711504,2733.336131,51.575937,127.243624231,1.899483136e+09,2733363977,51606870,212.61
1788848119.591566607,2736.654829,52.301775,128.707054768,1.900240896e+09,2736689737,52312139,219.77
1788848121.639086599,2738.755094,54.101143,131.135356858,1.900408832e+09,2738798158,54137920,219.77
1788848123.710508070,2741.41976,55.061637,133.207836217,1.901154304e+09,2741480133,55071114,248.54
1788848125.772562427,2744.196093,55.878844,135.143813149,1.901469696e+09,2744245622,55896342,248.54
1788848127.847003122,2747.27073,56.709417,136.864199941,1.902030848e+09,2747309215,56746408,248.54
1788848129.915301315,2751.269642,57.620987,138.718032222,1.902452736e+09,2751515921,57657022,271.32
1788848132.453092804,2754.726022,58.371914,140.457976916,1.903271936e+09,2754777975,58386666,271.32
